Name,Average time taken,Average number of calls,Minimum time taken,Maximum time taken,Minimum number of calls,Maximum number of calls,Number of sudokus solved,Number of sudokus failed
Basic,2.2668954190753756,10669.021645021645,0.001969575881958008,35.743680000305176,54,99660,231,69
With cache,0.1519987382888794,43704.528,0.00040531158447265625,1.8234882354736328,52,490894,250,50
Updating cache,0.0229997452100118,3179.3866666666668,0.00045490264892578125,1.1081161499023438,48,156323,300,0
Hidden single,0.028051353295644125,1703.62,0.0008466243743896484,0.9081127643585205,48,56694,300,0
Priority,0.02698406219482422,747.0,0.0016231536865234375,1.1051714420318604,48,32040,300,0
Hidden pair,0.048449001004618984,735.8064516129032,0.002103567123413086,1.1067357063293457,48,17126,31,269
Hidden pair,0.028766105969746908,439.04,0.0021088123321533203,1.7935686111450195,48,28634,300,0
Hidden pair,0.019859131971995035,290.19,0.002018451690673828,0.9505908489227295,48,13839,300,0
Hidden pair,0.01543121337890625,215.98333333333332,0.002068758010864258,0.9772613048553467,48,13242,300,0
Priority,0.017752896944681802,230.38,0.0023276805877685547,0.8737568855285645,48,11493,300,0
